Date,DISTRICT,mean
2010-09,Rangareddy,214.7549735840461
2010-09,Srikakulam,233.2599235518689
2010-09,Visakhapatnam,266.45422326307977
2010-09,Vizianagaram,275.36238497715874
2010-09,Warangal,291.3826166502578
2010-09,West Godavari,259.5416122548835
2010-10,Adilabad,69.36245195330169
2010-10,Anantapur,129.17547887388378
2010-10,Chittoor,243.7635733027602
2010-10,Y.s.r.,198.88239018755587
2010-10,East Godavari,442.4335600679913
2010-10,Guntur,233.5313559729314
2010-10,Hyderabad,95.80152125682645
2010-10,Karimnagar,89.36357226725808
2010-10,Khammam,248.03016763486124
2010-10,Krishna,303.754695557017
2010-10,Kurnool,112.27540801546675
2010-10,Mahbubnagar,92.00908668960587
2010-10,Medak,90.10153534341663
2010-10,Nalgonda,149.5623362206347
2010-10,Sri Potti Sriramulu Nellore,355.5590126802279
2010-10,Nizamabad,77.27328203079969
2010-10,Prakasam,257.6655932913895
2010-10,Rangareddy,90.34301457826301
2010-10,Srikakulam,368.80968224450004
2010-10,Visakhapatnam,378.19690900471875
2010-10,Vizianagaram,322.8798420484292
2010-10,Warangal,146.23672877916653
2010-10,West Godavari,421.8297185462354
2010-11,Adilabad,35.69408872524926
2010-11,Anantapur,103.09663641442815
2010-11,Chittoor,200.83471830243204
2010-11,Y.s.r.,161.43759528494698
2010-11,East Godavari,231.79414958593048
2010-11,Guntur,129.2106662290816
2010-11,Hyderabad,29.016508490985263
2010-11,Karimnagar,43.11633035600059
2010-11,Khammam,91.96476761289155
2010-11,Krishna,165.44169281443328
2010-11,Kurnool,55.5104026696766
2010-11,Mahbubnagar,43.32088510835095
2010-11,Medak,28.10152149653847
2010-11,Nalgonda,51.708578773113736
2010-11,Sri Potti Sriramulu Nellore,297.0337636310916
2010-11,Nizamabad,28.03499328091498
2010-11,Prakasam,181.0926601567144
2010-11,Rangareddy,28.433205808667783
2010-11,Srikakulam,200.8843690912606
2010-11,Visakhapatnam,232.11400795462703
2010-11,Vizianagaram,216.3980931113735
2010-11,Warangal,53.60997879136373
2010-11,West Godavari,149.86629482214997
2010-12,Adilabad,6.977637341538819
2010-12,Anantapur,9.914758398238028
2010-12,Chittoor,91.47146048879202
2010-12,Y.s.r.,42.09304491724065
2010-12,East Godavari,56.79012163889143
2010-12,Guntur,35.611130859681566
2010-12,Hyderabad,9.394354369879538
2010-12,Karimnagar,11.204890394851319
2010-12,Khammam,21.383614562713962
2010-12,Krishna,44.72216890529811
2010-12,Kurnool,6.6841658076456945
2010-12,Mahbubnagar,8.14144761252221
2010-12,Medak,9.173379676003476
2010-12,Nalgonda,10.712904926660151
2010-12,Sri Potti Sriramulu Nellore,114.70954313669336
2010-12,Nizamabad,7.043962589720021
2010-12,Prakasam,33.93076194916467
2010-12,Rangareddy,9.850547214040496
2010-12,Srikakulam,40.20312748079948
2010-12,Visakhapatnam,40.99912791658373
2010-12,Vizianagaram,34.63617293470248
2010-12,Warangal,13.208095061772388
2010-12,West Godavari,49.802507113376286
2011-01,Adilabad,7.7784155395924
2011-01,Anantapur,0.20249277900817314
2011-01,Chittoor,9.606875903008726
2011-01,Y.s.r.,3.0718604337762367
2011-01,East Godavari,2.164442820866393
2011-01,Guntur,0.10015966634478558
2011-01,Hyderabad,0.0
2011-01,Karimnagar,4.260567057313688
2011-01,Khammam,2.280811071488981
2011-01,Krishna,0.4515560540628402
2011-01,Kurnool,0.21189753861297989
2011-01,Mahbubnagar,0.07786455935138065
2011-01,Medak,1.6130518980363524
2011-01,Nalgonda,0.5353700128698571
2011-01,Sri Potti Sriramulu Nellore,6.057392435130458
2011-01,Nizamabad,7.405381609485509
2011-01,Prakasam,0.4747568095619356
2011-01,Rangareddy,0.0
2011-01,Srikakulam,2.1502039169957823
2011-01,Visakhapatnam,2.0311507289329644
2011-01,Vizianagaram,2.2329681098699936
